Rainfall_mm,Avg_Temp_C,Garbage_Complaints,Waterlogging_Complaints,Month,Quarter,DayOfYear,Month_sin,Month_cos,Is_Monsoon,Is_Summer,Is_Winter,Rainfall_Lag1,Rainfall_Lag2,Rainfall_Lag3,Temp_Lag1,Temp_Lag2,Cases_Lag1,Cases_Lag2,Cases_Lag3,Garbage_Lag1,Waterlog_Lag1,Rainfall_roll3_mean,Rainfall_roll7_mean,Cases_roll3_mean,Cases_roll7_mean,Temp_roll3_mean,Rainfall_roll3_std,Cases_roll3_std,Rainfall_roll7_max,Rainfall_roll7_min,Ward_Garbage_mean,Ward_Waterlog_mean,Ward_Cases_mean,Ward_Rainfall_mean,Dengue_Cases,Ward_ID
13.9,19.7,39,4,2,1,32,0.8660254037844386,0.5000000000000001,0,0,1,8.8,7.4,79.2,20.4,21.6,15.0,29.0,28.0,6.0,8.0,10.033333333333324,62.9,22.0,31.857142857142858,20.566666666666663,3.4210134950520863,7.0,137.4,7.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,22,1
13.0,32.7,33,5,3,1,60,1.0,6.123233995736766e-17,0,1,0,13.9,8.8,7.4,19.7,20.4,22.0,15.0,29.0,39.0,4.0,11.899999999999991,50.528571428571425,19.0,29.857142857142858,24.266666666666666,2.722131517762376,3.605551275463989,137.4,7.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,20,1
12.2,34.5,21,1,4,2,91,0.8660254037844387,-0.4999999999999998,0,1,0,13.0,13.9,8.8,32.7,19.7,20.0,22.0,15.0,33.0,5.0,13.033333333333323,32.642857142857146,17.333333333333332,24.571428571428573,28.966666666666665,0.8504900548088246,6.429100507328636,94.0,7.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,10,1
100.5,35.5,36,10,5,2,121,0.49999999999999994,-0.8660254037844387,0,1,0,12.2,13.0,13.9,34.5,32.7,10.0,20.0,22.0,21.0,1.0,41.899999999999984,33.57142857142857,18.666666666666668,21.428571428571427,34.23333333333333,50.75066502027335,8.082903768654761,100.5,7.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,26,1
136.0,28.4,16,16,6,2,152,1.2246467991473532e-16,-1.0,1,0,0,100.5,12.2,13.0,35.5,34.5,26.0,10.0,20.0,36.0,10.0,82.89999999999999,41.68571428571429,24.333333333333332,22.714285714285715,32.800000000000004,63.748960775843244,13.576941236277536,136.0,7.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,37,1
140.6,25.5,23,16,7,3,182,-0.4999999999999997,-0.8660254037844388,1,0,0,136.0,100.5,12.2,28.4,35.5,37.0,26.0,10.0,16.0,16.0,125.69999999999999,60.714285714285715,39.333333333333336,26.428571428571427,29.799999999999997,21.944703233354584,14.640127503998501,140.6,8.8,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,55,1
94.8,25.9,8,17,8,3,213,-0.8660254037844385,-0.5000000000000004,1,0,0,140.6,136.0,100.5,25.5,28.4,55.0,37.0,26.0,23.0,16.0,123.8,73.0,45.0,30.428571428571427,26.599999999999994,25.219833464953787,9.16515138991168,140.6,12.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,43,1
130.9,28.4,18,16,9,3,244,-1.0,-1.8369701987210297e-16,1,0,0,94.8,140.6,136.0,25.9,25.5,43.0,55.0,37.0,8.0,17.0,122.09999999999998,89.71428571428571,47.666666666666664,33.714285714285715,26.599999999999994,24.13482960370764,6.429100507328636,140.6,12.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,45,1
108.0,26.4,10,17,10,4,274,-0.8660254037844386,0.5000000000000001,0,0,0,130.9,94.8,140.6,28.4,25.9,45.0,43.0,55.0,18.0,16.0,111.2333333333333,103.28571428571429,43.666666666666664,37.0,26.899999999999995,18.26590631020907,1.1547005383792448,140.6,12.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,43,1
57.9,25.3,30,13,11,4,305,-0.5000000000000004,0.8660254037844384,0,0,0,108.0,130.9,94.8,26.4,28.4,43.0,45.0,43.0,10.0,17.0,98.93333333333332,109.8142857142857,43.666666666666664,41.714285714285715,26.7,37.33501484308443,1.1547005383792448,140.6,57.9,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,43,1
10.4,17.6,10,4,12,4,335,-2.4492935982947064e-16,1.0,0,0,1,57.9,108.0,130.9,25.3,26.4,43.0,43.0,45.0,30.0,13.0,58.76666666666666,96.94285714285715,34.0,40.285714285714285,23.099999999999998,48.805771516628354,15.588457268119896,140.6,10.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,16,1
9.9,24.0,23,4,1,1,1,0.49999999999999994,0.8660254037844387,0,0,1,10.4,57.9,108.0,17.6,25.3,16.0,43.0,43.0,10.0,4.0,26.06666666666666,78.92857142857143,24.333333333333332,37.0,22.299999999999997,27.569608871605855,16.19670748434179,140.6,9.9,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,14,1
7.0,20.1,33,6,2,1,32,0.8660254037844386,0.5000000000000001,0,0,1,9.9,10.4,57.9,24.0,17.6,14.0,16.0,43.0,23.0,4.0,9.09999999999999,59.84285714285715,16.333333333333332,31.857142857142858,20.566666666666666,1.8357559750667896,2.516611478423573,130.9,7.0,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,19,1
14.7,37.1,8,4,3,1,60,1.0,6.123233995736766e-17,0,1,0,7.0,9.9,10.4,20.1,24.0,19.0,14.0,16.0,33.0,6.0,10.533333333333323,48.4,15.333333333333334,27.571428571428573,27.066666666666663,3.888873015839793,3.2145502536643105,130.9,7.0,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,13,1
6.4,32.2,24,3,4,2,91,0.8660254037844387,-0.4999999999999998,0,1,0,14.7,7.0,9.9,37.1,20.1,13.0,19.0,14.0,8.0,4.0,9.366666666666658,30.614285714285717,15.0,23.0,29.799999999999997,4.628534685332581,3.4641016151377473,108.0,6.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,13,1
85.6,36.9,37,15,5,2,121,0.49999999999999994,-0.8660254037844387,0,1,0,6.4,14.7,7.0,32.2,37.1,13.0,13.0,19.0,24.0,3.0,35.566666666666656,27.41428571428571,18.333333333333332,21.0,35.4,43.528419835015015,9.237604307034013,85.6,6.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,29,1
162.4,26.6,35,23,6,2,152,1.2246467991473532e-16,-1.0,1,0,0,85.6,6.4,14.7,36.9,32.2,29.0,13.0,13.0,37.0,15.0,84.8,42.34285714285714,31.333333333333332,22.285714285714285,31.899999999999995,78.0030768623905,19.60442127004348,162.4,6.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,52,1
219.3,25.9,27,26,7,3,182,-0.4999999999999997,-0.8660254037844388,1,0,0,162.4,85.6,6.4,26.6,36.9,52.0,29.0,13.0,35.0,23.0,155.76666666666665,72.1857142857143,52.333333333333336,30.857142857142858,29.799999999999994,67.09637347378279,23.501772982763093,219.3,6.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,76,1
192.0,28.4,30,25,8,3,213,-0.8660254037844385,-0.5000000000000004,1,0,0,219.3,162.4,85.6,25.9,26.6,76.0,52.0,29.0,27.0,26.0,191.23333333333335,98.2,71.0,41.0,26.966666666666658,28.457746455637473,17.058722109231976,219.3,6.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,85,1
151.1,25.7,26,18,9,3,244,-1.0,-1.8369701987210297e-16,1,0,0,192.0,219.3,162.4,28.4,25.9,85.0,76.0,52.0,30.0,25.0,187.46666666666667,118.78571428571429,74.0,47.0,26.66666666666666,34.325257949989926,12.124355652982137,219.3,6.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,61,1
81.2,28.9,24,12,10,4,274,-0.8660254037844386,0.5000000000000001,0,0,0,151.1,192.0,219.3,25.7,28.4,61.0,85.0,76.0,26.0,18.0,141.4333333333333,128.2857142857143,64.0,51.714285714285715,27.66666666666666,56.028950849835994,19.672315572905998,219.3,6.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,46,1
84.2,27.1,27,9,11,4,305,-0.5000000000000004,0.8660254037844384,0,0,0,81.2,151.1,192.0,28.9,25.7,46.0,61.0,85.0,24.0,12.0,105.49999999999999,139.4,48.666666666666664,55.42857142857143,27.23333333333333,39.51923582257124,11.239810200058237,219.3,81.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,39,1
8.0,19.2,35,8,12,4,335,-2.4492935982947064e-16,1.0,0,0,1,84.2,81.2,151.1,27.1,28.9,39.0,46.0,61.0,27.0,9.0,57.79999999999998,128.31428571428572,37.666666666666664,55.285714285714285,25.066666666666663,43.15414232724351,9.073771725877457,219.3,8.0,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,28,1
7.6,34.9,66,9,4,2,91,0.8660254037844387,-0.4999999999999998,0,1,0,16.4,14.6,10.9,33.1,20.8,25.0,12.0,24.0,31.0,8.0,12.866666666666667,12.375,25.666666666666668,25.25,29.599999999999998,4.6490142324296375,14.0118997046558,16.4,7.6,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,40,2
44.0,30.4,35,11,5,2,121,0.49999999999999994,-0.8660254037844387,0,1,0,7.6,16.4,14.6,34.9,33.1,40.0,25.0,12.0,66.0,9.0,22.666666666666668,18.7,31.666666666666668,26.2,32.800000000000004,18.991928109945377,7.637626158259732,44.0,7.6,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,30,2
56.5,23.5,15,8,6,2,152,1.2246467991473532e-16,-1.0,1,0,0,44.0,7.6,16.4,30.4,34.9,30.0,40.0,25.0,35.0,11.0,36.03333333333333,25.0,31.0,25.666666666666668,29.600000000000005,25.404789574671415,8.54400374531753,56.5,7.6,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,23,2
126.9,26.0,57,22,7,3,182,-0.4999999999999997,-0.8660254037844388,1,0,0,56.5,44.0,7.6,23.5,30.4,23.0,30.0,40.0,15.0,8.0,75.8,39.55714285714286,38.666666666666664,31.0,26.633333333333336,44.693064338888206,21.361959960016154,126.9,7.6,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,63,2
105.3,27.4,38,18,8,3,213,-0.8660254037844385,-0.5000000000000004,1,0,0,126.9,56.5,44.0,26.0,23.5,63.0,23.0,30.0,57.0,22.0,96.23333333333333,53.042857142857144,50.0,36.714285714285715,25.633333333333336,36.0651262764091,23.388031127053,126.9,7.6,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,64,2
153.1,27.2,19,22,9,3,244,-1.0,-1.8369701987210297e-16,1,0,0,105.3,126.9,56.5,27.4,26.0,64.0,63.0,23.0,38.0,18.0,128.43333333333334,72.82857142857144,62.333333333333336,43.57142857142857,26.866666666666664,23.93686139270008,2.0816659994661335,153.1,7.6,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,60,2
37.3,26.6,64,3,10,4,274,-0.8660254037844386,0.5000000000000001,0,0,0,153.1,105.3,126.9,27.2,27.4,60.0,64.0,63.0,19.0,22.0,98.56666666666666,75.81428571428572,63.666666666666664,49.57142857142857,27.066666666666666,58.19289761932579,3.511884584284248,153.1,7.6,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,67,2
101.0,30.8,16,14,11,4,305,-0.5000000000000004,0.8660254037844384,0,0,0,37.3,153.1,105.3,26.6,27.2,67.0,60.0,64.0,64.0,3.0,97.13333333333334,89.15714285714286,50.0,47.142857142857146,28.2,57.99675278266304,23.643180835073778,153.1,37.3,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,23,2
6.7,20.6,22,6,12,4,335,-2.4492935982947064e-16,1.0,0,0,1,101.0,37.3,153.1,30.8,26.6,23.0,67.0,60.0,16.0,14.0,48.333333333333336,83.82857142857142,38.333333333333336,46.42857142857143,26.0,48.10845386554561,24.8461935381123,153.1,6.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,25,2
7.0,19.8,51,0,1,1,1,0.49999999999999994,0.8660254037844387,0,0,1,6.7,101.0,37.3,20.6,30.8,25.0,23.0,67.0,22.0,6.0,38.233333333333334,76.75714285714285,25.666666666666668,47.285714285714285,23.733333333333334,54.357734806863775,3.0550504633039104,153.1,6.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,29,2
5.7,17.4,28,12,2,1,32,0.8660254037844386,0.5000000000000001,0,0,1,7.0,6.7,101.0,19.8,20.6,29.0,25.0,23.0,51.0,0.0,6.466666666666666,59.44285714285714,24.333333333333332,41.0,19.266666666666666,0.6806859285510705,5.033222956847176,153.1,5.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,19,2
17.2,36.6,67,3,3,1,60,1.0,6.123233995736766e-17,0,1,0,5.7,7.0,6.7,17.4,19.8,19.0,29.0,25.0,28.0,12.0,9.966666666666667,46.857142857142854,28.0,37.0,24.600000000000005,6.297883242274952,8.544003745317537,153.1,5.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,36,2
12.7,33.7,6,1,4,2,91,0.8660254037844387,-0.4999999999999998,0,1,0,17.2,5.7,7.0,36.6,17.4,36.0,19.0,29.0,67.0,3.0,11.866666666666667,26.8,18.666666666666668,28.571428571428573,29.233333333333338,5.795112883570757,17.50238079043344,101.0,5.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,1,2
27.9,34.3,38,8,5,2,121,0.49999999999999994,-0.8660254037844387,0,1,0,12.7,17.2,5.7,33.7,36.6,1.0,36.0,19.0,6.0,1.0,19.266666666666666,25.45714285714286,20.333333333333332,22.428571428571427,34.86666666666667,7.807901980258734,17.785762095938804,101.0,5.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,24,2
242.3,23.9,66,25,6,2,152,1.2246467991473532e-16,-1.0,1,0,0,27.9,12.7,17.2,34.3,33.7,24.0,1.0,36.0,38.0,8.0,94.30000000000001,45.642857142857146,27.666666666666668,27.428571428571427,30.633333333333336,128.39688469741,28.67635495200416,242.3,5.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,58,2
138.3,24.5,48,16,7,3,182,-0.4999999999999997,-0.8660254037844388,1,0,0,242.3,27.9,12.7,23.9,34.3,58.0,24.0,1.0,66.0,25.0,136.16666666666666,64.44285714285715,57.666666666666664,36.857142857142854,27.566666666666666,107.215919216007,33.50124375800596,242.3,5.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,91,2
107.7,28.1,56,10,8,3,213,-0.8660254037844385,-0.5000000000000004,1,0,0,138.3,242.3,27.9,24.5,23.9,91.0,58.0,24.0,48.0,16.0,162.76666666666668,78.82857142857144,69.66666666666667,41.285714285714285,25.5,70.55673839778409,18.502252115170556,242.3,5.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,60,2
138.8,28.5,41,26,9,3,244,-1.0,-1.8369701987210297e-16,1,0,0,107.7,138.3,242.3,28.1,24.5,60.0,91.0,58.0,56.0,10.0,128.26666666666668,97.84285714285714,75.0,49.142857142857146,27.033333333333335,17.81301022661068,15.524174696260024,242.3,12.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,74,2
44.8,26.5,13,11,10,4,274,-0.8660254037844386,0.5000000000000001,0,0,0,138.8,107.7,138.3,28.5,28.1,74.0,60.0,91.0,41.0,26.0,97.10000000000001,101.78571428571429,59.0,50.142857142857146,27.700000000000003,47.88809873026911,15.524174696260024,242.3,12.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,43,2
59.2,25.5,22,8,11,4,305,-0.5000000000000004,0.8660254037844384,0,0,0,44.8,138.8,107.7,26.5,28.5,43.0,74.0,60.0,13.0,11.0,80.93333333333335,108.42857142857143,47.666666666666664,53.714285714285715,26.833333333333332,50.628582177790975,24.337899115029078,242.3,27.9,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,26,2
16.1,23.7,63,12,12,4,335,-2.4492935982947064e-16,1.0,0,0,1,59.2,44.8,138.8,25.5,26.5,26.0,43.0,74.0,22.0,8.0,40.03333333333334,106.74285714285715,37.0,56.285714285714285,25.233333333333334,21.94181700163707,9.53939201416945,242.3,16.1,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,42,2
10.3,18.5,41,7,1,1,1,0.49999999999999994,0.8660254037844387,0,0,1,16.1,59.2,44.8,23.7,25.5,42.0,26.0,43.0,63.0,12.0,28.533333333333346,73.60000000000001,31.666666666666668,51.857142857142854,22.566666666666666,26.71597524578372,8.962886439832495,138.8,10.3,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,27,2
11.1,21.4,57,6,2,1,32,0.8660254037844386,0.5000000000000001,0,0,1,10.3,16.1,59.2,18.5,23.7,27.0,42.0,26.0,41.0,7.0,12.500000000000009,55.42857142857143,32.0,42.714285714285715,21.200000000000003,3.143246729099332,8.66025403784438,138.8,10.3,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,27,2
9.7,33.3,59,13,3,1,60,1.0,6.123233995736766e-17,0,1,0,11.1,10.3,16.1,21.4,18.5,27.0,27.0,42.0,57.0,6.0,10.366666666666676,41.42857142857143,32.666666666666664,40.42857142857143,24.400000000000002,0.702376916852178,9.81495457622364,138.8,9.7,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,44,2
7.9,33.4,31,4,4,2,91,0.8660254037844387,-0.4999999999999998,0,1,0,9.7,11.1,10.3,33.3,21.4,44.0,27.0,27.0,59.0,13.0,9.566666666666675,22.728571428571428,29.666666666666668,32.42857142857143,29.366666666666664,1.6041612554000575,13.203534880225574,59.2,7.9,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,18,2
69.0,35.2,23,16,5,2,121,0.49999999999999994,-0.8660254037844387,0,1,0,7.9,9.7,11.1,33.4,33.3,18.0,44.0,27.0,31.0,4.0,28.866666666666674,26.185714285714287,28.0,29.428571428571427,33.96666666666667,34.768136753834376,14.000000000000002,69.0,7.9,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,22,2
171.2,27.8,16,29,6,2,152,1.2246467991473532e-16,-1.0,1,0,0,69.0,7.9,9.7,35.2,33.4,22.0,18.0,44.0,23.0,16.0,82.7,42.18571428571429,28.666666666666668,32.285714285714285,32.13333333333334,82.50751480925844,15.143755588800731,171.2,7.9,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,46,2
114.7,28.5,67,11,7,3,182,-0.4999999999999997,-0.8660254037844388,1,0,0,171.2,69.0,7.9,27.8,35.2,46.0,22.0,18.0,16.0,29.0,118.30000000000001,56.271428571428565,49.0,37.57142857142857,30.500000000000004,51.195019288989485,28.61817604250837,171.2,7.9,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,79,2
186.1,26.3,62,24,8,3,213,-0.8660254037844385,-0.5000000000000004,1,0,0,114.7,171.2,69.0,28.5,27.8,79.0,46.0,22.0,67.0,11.0,157.33333333333334,81.38571428571429,67.66666666666667,44.857142857142854,27.533333333333342,37.66567845311357,18.77054430040145,186.1,7.9,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,78,2
195.4,26.5,39,27,9,3,244,-1.0,-1.8369701987210297e-16,1,0,0,186.1,114.7,171.2,26.3,28.5,78.0,79.0,46.0,62.0,24.0,165.4,107.71428571428571,80.33333333333333,53.0,27.100000000000005,44.15302934114501,3.2145502536643202,195.4,7.9,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,84,2
40.3,29.1,52,9,10,4,274,-0.8660254037844386,0.5000000000000001,0,0,0,195.4,186.1,114.7,26.5,26.3,84.0,78.0,79.0,39.0,27.0,140.6,112.08571428571429,81.33333333333333,58.42857142857143,27.300000000000008,86.986723124854,3.0550504633038966,195.4,7.9,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,82,2
125.9,22.2,41,22,11,4,305,-0.5000000000000004,0.8660254037844384,0,0,0,40.3,195.4,186.1,29.1,26.5,82.0,84.0,78.0,52.0,9.0,120.53333333333335,128.94285714285715,69.0,61.714285714285715,25.933333333333337,77.68914553097709,24.269322199023193,195.4,40.3,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,41,2
6.1,22.4,46,10,12,4,335,-2.4492935982947064e-16,1.0,0,0,1,125.9,40.3,195.4,22.2,29.1,41.0,82.0,84.0,41.0,22.0,57.43333333333334,119.95714285714287,55.0,64.57142857142857,24.566666666666674,61.71039890758547,23.388031127053,195.4,6.1,39.916666666666664,12.583333333333334,43.02777777777778,67.9361111111111,42,2
8.2,35.1,5,1,4,2,91,0.8660254037844387,-0.4999999999999998,0,1,0,10.2,0.5,15.8,33.7,23.1,0.0,14.0,9.0,2.0,1.0,6.3,8.675,5.333333333333333,6.25,30.633333333333336,5.121523210920752,7.571877794400364,15.8,0.5,16.11111111111111,8.166666666666666,26.88888888888889,66.27222222222223,2,3
34.1,35.4,4,3,5,2,121,0.49999999999999994,-0.8660254037844387,0,1,0,8.2,10.2,0.5,35.1,33.7,2.0,0.0,14.0,5.0,1.0,17.5,13.76,0.6666666666666666,5.0,34.73333333333334,14.410759868931272,1.1547005383792421,34.1,0.5,16.11111111111111,8.166666666666666,26.88888888888889,66.27222222222223,0,3
208.2,25.4,8,21,6,2,152,1.2246467991473532e-16,-1.0,1,0,0,34.1,8.2,10.2,35.4,35.1,0.0,2.0,0.0,4.0,3.0,83.5,46.166666666666664,12.0,9.833333333333334,31.966666666666665,108.76704464128828,19.078784028338912,208.2,0.5,16.11111111111111,8.166666666666666,26.88888888888889,66.27222222222223,34,3
106.2,23.1,14,15,7,3,182,-0.4999999999999997,-0.8660254037844388,1,0,0,208.2,34.1,8.2,25.4,35.4,34.0,0.0,2.0,8.0,21.0,116.16666666666667,54.74285714285714,29.333333333333332,16.142857142857142,27.96666666666667,87.47687313417947,27.30079363925769,208.2,0.5,16.11111111111111,8.166666666666666,26.88888888888889,66.27222222222223,54,3
142.6,25.4,21,14,8,3,213,-0.8660254037844385,-0.5000000000000004,1,0,0,106.2,208.2,34.1,23.1,25.4,54.0,34.0,0.0,14.0,15.0,152.33333333333334,72.85714285714286,40.666666666666664,19.714285714285715,24.633333333333336,51.691907812861096,11.54700538379251,208.2,0.5,16.11111111111111,8.166666666666666,26.88888888888889,66.27222222222223,34,3
151.0,26.0,23,20,9,3,244,-1.0,-1.8369701987210297e-16,1,0,0,142.6,106.2,208.2,25.4,23.1,34.0,54.0,34.0,21.0,14.0,133.26666666666668,94.35714285714286,48.0,25.714285714285715,24.833333333333332,23.81372153472303,12.165525060596435,208.2,8.2,16.11111111111111,8.166666666666666,26.88888888888889,66.27222222222223,56,3
67.1,27.3,27,7,10,4,274,-0.8660254037844386,0.5000000000000001,0,0,0,151.0,142.6,106.2,26.0,25.4,56.0,34.0,54.0,23.0,20.0,120.23333333333335,102.48571428571428,45.666666666666664,32.42857142857143,26.233333333333334,46.2060962788822,11.060440015358035,208.2,8.2,16.11111111111111,8.166666666666666,26.88888888888889,66.27222222222223,47,3
99.5,25.7,4,12,11,4,305,-0.5000000000000004,0.8660254037844384,0,0,0,67.1,151.0,142.6,27.3,26.0,47.0,56.0,34.0,27.0,7.0,105.86666666666667,115.52857142857144,42.666666666666664,35.714285714285715,26.333333333333332,42.31079452495937,15.947831618540912,208.2,34.1,16.11111111111111,8.166666666666666,26.88888888888889,66.27222222222223,25,3
